,0
236,Cluster 194 similarity
237,Cluster 195 similarity
238,Cluster 196 similarity
239,Cluster 197 similarity
240,Cluster 198 similarity
241,Cluster 199 similarity
242,Cluster 200 similarity
243,Cluster 201 similarity
244,Cluster 202 similarity
245,Cluster 203 similarity
246,Cluster 204 similarity
247,Cluster 205 similarity
248,Cluster 206 similarity
249,Cluster 207 similarity
250,Cluster 208 similarity
251,Cluster 209 similarity
252,Cluster 210 similarity
253,Cluster 211 similarity
254,Cluster 212 similarity
255,Cluster 213 similarity
256,Cluster 214 similarity
257,Cluster 215 similarity
258,Cluster 216 similarity
259,Cluster 217 similarity
260,Cluster 218 similarity
261,Cluster 219 similarity
262,Cluster 220 similarity
263,Cluster 221 similarity
264,Cluster 222 similarity
265,Cluster 223 similarity
266,Cluster 224 similarity
267,Cluster 225 similarity
268,Cluster 226 similarity
269,Cluster 227 similarity
270,Cluster 228 similarity
271,Cluster 229 similarity
272,Cluster 230 similarity
273,Cluster 231 similarity
274,Cluster 232 similarity
275,Cluster 233 similarity
276,Cluster 234 similarity
277,Cluster 235 similarity
278,Cluster 236 similarity
279,Cluster 237 similarity
280,Cluster 238 similarity
281,Cluster 239 similarity
282,Cluster 240 similarity
283,Cluster 241 similarity
284,Cluster 242 similarity
285,Cluster 243 similarity
286,Cluster 244 similarity
287,Cluster 245 similarity
288,Cluster 246 similarity
289,Cluster 247 similarity
290,Cluster 248 similarity
291,Cluster 249 similarity
292,Cluster 250 similarity
293,Cluster 251 similarity
294,Cluster 252 similarity
295,Cluster 253 similarity
296,Cluster 254 similarity
297,Cluster 255 similarity
298,Cluster 256 similarity
299,Cluster 257 similarity
300,Cluster 258 similarity
301,Cluster 259 similarity
302,Cluster 260 similarity
303,Cluster 261 similarity
304,Cluster 262 similarity
305,Cluster 263 similarity
306,Cluster 264 similarity
307,Cluster 265 similarity
308,Cluster 266 similarity
309,Cluster 267 similarity
310,Cluster 268 similarity
311,Cluster 269 similarity
312,Cluster 270 similarity
313,Cluster 271 similarity
314,Cluster 272 similarity
315,Cluster 273 similarity
316,Cluster 274 similarity
317,Cluster 275 similarity
318,Cluster 276 similarity
319,Cluster 277 similarity
320,Cluster 278 similarity
321,Cluster 279 similarity
322,Cluster 280 similarity
323,Cluster 281 similarity
324,Cluster 282 similarity
325,Cluster 283 similarity
326,Cluster 284 similarity
327,Cluster 285 similarity
328,Cluster 286 similarity
329,Cluster 287 similarity
330,Cluster 288 similarity
331,Cluster 289 similarity
332,Cluster 290 similarity
333,Cluster 291 similarity
334,Cluster 292 similarity
335,Cluster 293 similarity
336,Cluster 294 similarity
337,Cluster 295 similarity
338,Cluster 296 similarity
339,Cluster 297 similarity
340,Cluster 298 similarity
341,Cluster 299 similarity
342,Cluster 300 similarity
343,Cluster 301 similarity
344,Cluster 302 similarity
345,Cluster 303 similarity
346,Cluster 304 similarity
347,Cluster 305 similarity
348,Cluster 306 similarity
349,Cluster 307 similarity
350,Cluster 308 similarity
351,Cluster 309 similarity
352,Cluster 310 similarity
353,Cluster 311 similarity
354,Cluster 312 similarity
355,Cluster 313 similarity
356,Cluster 314 similarity
357,Cluster 315 similarity
358,Cluster 316 similarity
359,Cluster 317 similarity
360,Cluster 318 similarity
361,Cluster 319 similarity
362,Cluster 320 similarity
363,Cluster 321 similarity
364,Cluster 322 similarity
365,Cluster 323 similarity
366,Cluster 324 similarity
367,Cluster 325 similarity
368,Cluster 326 similarity
369,Cluster 327 similarity
370,Cluster 328 similarity
371,Cluster 329 similarity
372,Cluster 330 similarity
373,Cluster 331 similarity
374,Cluster 332 similarity
375,Cluster 333 similarity
376,Cluster 334 similarity
377,Cluster 335 similarity
378,Cluster 336 similarity
379,Cluster 337 similarity
380,Cluster 338 similarity
381,Cluster 339 similarity
382,Cluster 340 similarity
383,Cluster 341 similarity
384,Cluster 342 similarity
385,Cluster 343 similarity
386,Cluster 344 similarity
387,Cluster 345 similarity
388,Cluster 346 similarity
389,Cluster 347 similarity
390,Cluster 348 similarity
391,Cluster 349 similarity
392,Cluster 350 similarity
393,Cluster 351 similarity
394,Cluster 352 similarity
395,Cluster 353 similarity
396,Cluster 354 similarity
397,Cluster 355 similarity
398,Cluster 356 similarity
399,Cluster 357 similarity
400,Cluster 358 similarity
401,Cluster 359 similarity
402,Cluster 360 similarity
403,Cluster 361 similarity
404,Cluster 362 similarity
405,Cluster 363 similarity
406,Cluster 364 similarity
407,Cluster 365 similarity
408,Cluster 366 similarity
409,Cluster 367 similarity
410,Cluster 368 similarity
411,Cluster 369 similarity
412,Cluster 370 similarity
413,Cluster 371 similarity
414,Cluster 372 similarity
415,Cluster 373 similarity
416,Cluster 374 similarity
417,Cluster 375 similarity
418,Cluster 376 similarity
419,Cluster 377 similarity
420,Cluster 378 similarity
421,Cluster 379 similarity
422,Cluster 380 similarity
423,Cluster 381 similarity
424,Cluster 382 similarity
425,Cluster 383 similarity
426,Cluster 384 similarity
427,Cluster 385 similarity
428,Cluster 386 similarity
429,Cluster 387 similarity
430,Cluster 388 similarity
431,Cluster 389 similarity
432,Cluster 390 similarity
433,Cluster 391 similarity
434,Cluster 392 similarity
435,Cluster 393 similarity
436,Cluster 394 similarity
437,Cluster 395 similarity
438,Cluster 396 similarity
439,Cluster 397 similarity
440,Cluster 398 similarity
441,Cluster 399 similarity
442,Cluster 400 similarity
443,Cluster 401 similarity
444,Cluster 402 similarity
445,Cluster 403 similarity
446,Cluster 404 similarity
447,Cluster 405 similarity
448,Cluster 406 similarity
449,Cluster 407 similarity
450,Cluster 408 similarity
451,Cluster 409 similarity
452,Cluster 410 similarity
453,Cluster 411 similarity
454,Cluster 412 similarity
455,Cluster 413 similarity
456,Cluster 414 similarity
457,Cluster 415 similarity
458,Cluster 416 similarity
459,Cluster 417 similarity
460,Cluster 418 similarity
461,Cluster 419 similarity
462,Cluster 420 similarity
463,Cluster 421 similarity
464,Cluster 422 similarity
465,Cluster 423 similarity
466,Cluster 424 similarity
467,Cluster 425 similarity
468,Cluster 426 similarity
469,Cluster 427 similarity
470,Cluster 428 similarity
471,Cluster 429 similarity
472,Cluster 430 similarity
473,Cluster 431 similarity
474,Cluster 432 similarity
475,Cluster 433 similarity
476,Cluster 434 similarity
477,Cluster 435 similarity
478,Cluster 436 similarity
479,Cluster 437 similarity
480,Cluster 438 similarity
481,Cluster 439 similarity
482,Cluster 440 similarity
483,Cluster 441 similarity
484,Cluster 442 similarity
485,Cluster 443 similarity
486,Cluster 444 similarity
487,Cluster 445 similarity
488,Cluster 446 similarity
489,Cluster 447 similarity
490,Cluster 448 similarity
491,Cluster 449 similarity
492,Cluster 450 similarity
493,Cluster 451 similarity
494,Cluster 452 similarity
495,Cluster 453 similarity
496,Cluster 454 similarity
497,Cluster 455 similarity
498,Cluster 456 similarity
499,Cluster 457 similarity
500,Cluster 458 similarity
501,Cluster 459 similarity
502,Cluster 460 similarity
503,Cluster 461 similarity
504,Cluster 462 similarity
505,Cluster 463 similarity
506,Cluster 464 similarity
507,Cluster 465 similarity
508,Cluster 466 similarity
509,Cluster 467 similarity
510,Cluster 468 similarity
511,Cluster 469 similarity
512,Cluster 470 similarity
513,Cluster 471 similarity
514,Cluster 472 similarity
515,Cluster 473 similarity
516,Cluster 474 similarity
517,Cluster 475 similarity
518,Cluster 476 similarity
519,Cluster 477 similarity
520,Cluster 478 similarity
521,Cluster 479 similarity
522,Cluster 480 similarity
523,Cluster 481 similarity
524,Cluster 482 similarity
525,Cluster 483 similarity
526,Cluster 484 similarity
527,Cluster 485 similarity
528,Cluster 486 similarity
529,Cluster 487 similarity
530,Cluster 488 similarity
531,Cluster 489 similarity
532,Cluster 490 similarity
533,Cluster 491 similarity
534,Cluster 492 similarity
535,Cluster 493 similarity
536,Cluster 494 similarity
537,Cluster 495 similarity
538,Cluster 496 similarity
539,Cluster 497 similarity
540,Cluster 498 similarity
541,Cluster 499 similarity
542,grunnkrets_id_density
543,t_district_density
544,municipality_name_density
545,avg_household_income_grunnkrets_id
546,avg_household_income_t_district
547,avg_household_income_municipality_name
548,distance_to_mangler_viktighetsnivå
549,distance_to_standard_holdeplass
550,distance_to_lokalt_knutepunkt
551,distance_to_nasjonalt_knutepunkt
552,distance_to_regionalt_knutepunkt
553,distance_to_annen_viktig_holdeplass
554,grunnkrets_id_kids_%
555,grunnkrets_id_kids+_%
556,grunnkrets_id_youths_%
557,grunnkrets_id_youthAdult_%
558,grunnkrets_id_adult_%
559,grunnkrets_id_adults+_%
560,grunnkrets_id_pensinors_%
561,t_district_kids_%
562,t_district_kids+_%
563,t_district_youths_%
564,t_district_youthAdult_%
565,t_district_adult_%
566,t_district_adults+_%
567,t_district_pensinors_%
568,municipality_name_kids_%
569,municipality_name_kids+_%
570,municipality_name_youths_%
571,municipality_name_youthAdult_%
572,municipality_name_adult_%
573,municipality_name_adults+_%
574,municipality_name_pensinors_%
575,distance_closest_mall_name
576,distance_closest_chain_name
577,store_name_first
578,store_name_last
579,address_first
580,is_chain
581,is_mall
582,store_type_chain
583,store_type_mall
584,store_type_municipality
585,bus_distance_to_store
586,store_type_district
