grunnkrets_id,couple_children_0_to_5_years,couple_children_18_or_above,couple_children_6_to_17_years,couple_without_children,single_parent_children_0_to_5_years,single_parent_children_18_or_above,single_parent_children_6_to_17_years,singles
11300112,177,40,106,118,19,17,22,53
12010304,149,50,181,108,0,7,22,93
14240104,47,35,66,86,0,6,22,73
2270101,93,86,138,154,20,32,22,115
4270103,41,18,54,74,0,8,22,35
4280601,67,25,61,72,0,7,22,48
1050104,76,0,58,36,22,8,19,94
19022032,117,94,150,124,0,6,22,44
16013224,66,22,104,90,0,4,22,61
1040406,118,15,79,80,7,33,22,108
15160111,86,21,93,130,0,13,22,111
12340104,51,42,67,98,12,6,22,87
16270105,51,0,45,58,0,5,22,52
7060207,60,30,98,96,0,0,22,51
8060103,21,0,18,50,8,0,22,72
1066402,32,17,135,60,0,9,22,30
11060303,66,18,29,88,11,22,22,183
16018115,157,60,182,164,9,9,22,96
4121302,24,20,51,70,5,6,22,30
6020712,41,53,122,56,0,6,22,24
10180117,64,34,62,100,0,6,22,81
11060803,63,37,110,78,6,10,22,90
5280302,71,26,53,56,6,26,19,41
6260403,108,47,76,68,0,14,18,57
14240105,63,22,77,64,0,5,18,50
2300406,33,26,38,88,9,0,18,49
18200214,47,23,40,56,8,0,18,28
15200209,80,25,110,88,21,15,18,89
19020502,75,42,68,146,10,13,18,168
12470101,61,38,74,84,0,10,18,39
17030206,87,27,101,88,8,8,18,67
6050101,73,39,53,150,24,19,18,168
7060904,59,29,97,64,0,9,18,23
7040606,254,15,106,48,22,6,18,28
2190913,35,12,47,22,0,6,18,63
6021024,79,42,87,76,0,0,18,56
11030806,154,39,88,150,12,25,18,231
5190105,94,25,73,130,0,13,18,100
14390104,26,20,44,40,0,10,18,29
5440105,44,25,90,96,7,8,18,113
7040103,54,37,77,94,19,8,18,130
12010202,72,10,6,302,18,6,18,468
4170307,60,31,43,84,0,0,18,55
20110113,38,41,56,26,8,27,18,50
20040107,64,19,37,32,0,19,18,54
4270603,93,54,73,108,10,16,18,63
15350301,35,49,66,74,10,14,18,54
2150308,80,53,69,94,0,10,18,67
5010204,82,31,95,132,5,16,18,76
8050203,100,35,97,190,6,6,18,83
11210404,218,75,255,116,8,19,18,81
2201204,148,72,167,232,6,26,18,113
4190301,24,18,25,58,0,0,18,43
8050308,54,23,66,80,6,8,18,46
5170106,36,34,84,94,0,4,18,43
6260604,140,64,209,140,8,20,18,77
5010514,53,34,52,150,5,11,18,114
14290207,126,22,123,70,11,10,18,69
18041012,71,22,173,58,8,0,18,34
14200203,168,65,141,196,10,15,18,120
2130212,83,37,64,72,6,15,18,55
2201512,97,12,49,34,11,14,18,32
2280205,140,47,158,70,0,13,18,80
5020612,115,29,212,120,4,12,18,79
20040103,39,22,9,142,0,8,18,197
6050201,17,24,31,90,0,10,19,81
12010136,40,6,13,128,7,7,18,269
2370504,71,45,96,118,12,16,18,59
16530701,36,22,77,64,0,0,18,30
10140202,148,79,162,146,7,13,18,63
11030901,102,12,47,352,14,8,18,433
6050303,49,27,62,88,0,7,18,76
8070204,49,24,71,80,0,6,18,42
7130204,40,32,33,28,0,6,18,46
16380208,92,19,83,38,6,4,18,43
8050403,57,35,74,80,0,6,18,69
10370304,70,18,53,54,0,6,18,32
6020716,88,30,129,100,0,19,18,70
12010142,115,17,63,210,13,6,18,295
8340102,91,41,125,106,14,23,18,143
20150101,49,13,12,40,6,18,20,77
9065310,43,15,44,80,6,6,22,107
2201203,136,47,171,136,0,13,22,103
12011101,162,44,71,150,12,23,20,123
10011103,55,18,82,62,0,9,22,90
7220401,70,18,105,94,0,0,22,47
19310202,24,24,28,42,7,0,22,31
3013711,90,0,23,14,0,0,22,18
11491003,145,99,241,236,12,26,22,144
5290108,99,48,96,162,23,14,22,85
11350504,87,47,124,166,11,13,22,100
2191126,34,41,97,56,0,13,22,23
8050314,153,59,212,98,9,8,22,78
12010106,60,19,66,152,6,0,22,286
6040501,124,37,86,130,9,12,22,157
12012007,98,31,121,170,13,22,22,255
16011412,96,25,58,176,0,19,22,187
4170505,97,56,106,134,0,9,22,86
2160203,160,18,103,60,0,22,22,78
11030910,119,54,119,168,13,19,22,173
4170207,69,48,86,166,0,19,22,132
15150112,127,44,152,174,16,16,22,70
10030210,110,46,143,156,8,14,22,85
7041106,52,16,83,84,18,12,22,174
11060903,71,25,77,126,7,11,22,56
18660205,53,0,45,72,6,0,22,139
2130502,62,51,120,80,17,13,22,77
4170407,61,33,82,110,0,12,22,59
12510207,82,18,67,42,6,12,20,51
4020503,60,40,33,78,14,8,20,55
2170501,59,31,115,120,0,15,20,58
17020305,72,17,57,32,0,14,20,51
15040605,105,37,150,110,16,13,20,124
19030603,87,30,40,70,9,12,20,57
12210309,109,52,107,126,6,13,20,84
11490608,136,91,211,186,25,38,20,127
14010317,125,39,119,98,13,4,20,55
8060102,13,15,10,136,0,7,20,156
19420204,42,25,52,50,10,12,20,81
2192106,35,18,35,46,4,13,20,81
18680203,54,50,119,94,10,14,20,77
19020109,148,16,55,230,18,24,20,376
7060210,123,44,165,116,0,27,20,52
15040701,99,33,132,108,0,0,20,74
11032710,88,43,162,80,9,6,22,74
18050502,70,10,35,88,12,4,20,127
15050101,103,38,40,132,9,11,20,96
9380101,52,50,78,76,9,14,20,85
7091003,102,33,105,102,12,22,20,58
17510110,88,28,54,82,8,10,20,50
11190504,127,50,103,84,4,12,20,64
2201602,30,24,70,44,6,13,20,32
17030302,61,27,134,76,8,14,20,36
17560101,36,33,141,98,0,14,20,64
17180106,45,22,85,108,0,0,20,40
15230103,95,25,97,74,0,14,20,81
7010503,71,20,78,124,0,27,20,86
2200405,57,0,40,40,0,8,20,39
9190120,78,11,40,116,0,8,20,113
12190510,105,9,82,108,7,17,22,89
2190407,135,56,159,84,0,0,22,75
2360406,70,42,86,88,6,24,22,65
1066301,107,56,186,202,0,11,19,78
6020112,57,41,148,108,7,9,19,46
5380206,60,29,54,82,0,19,19,50
2210406,123,36,157,158,0,12,19,79
17030417,22,14,48,28,7,10,19,9
16014212,112,43,180,128,8,0,19,83
2330104,79,52,155,96,7,16,19,48
11032402,130,62,155,124,11,10,19,44
2370607,27,9,65,70,0,8,19,94
2110113,137,15,78,38,8,0,19,22
18330701,212,71,243,188,5,12,19,89
15050403,89,40,84,112,0,4,19,64
8061303,61,60,106,96,11,0,19,40
16120103,45,12,52,60,0,0,19,33
12510203,128,39,96,106,0,16,19,61
14320306,84,32,117,118,11,11,19,90
2191606,25,0,8,28,0,0,19,13
15051303,51,42,69,84,0,24,19,35
18200203,92,20,118,102,14,0,19,73
10010207,54,29,47,84,5,24,19,129
11031715,133,37,86,114,20,18,19,62
12210203,111,7,108,22,0,8,19,33
15051203,79,40,129,82,6,15,19,31
5440207,40,13,78,92,0,12,19,65
7110203,42,47,49,128,12,10,22,73
12012006,64,39,40,166,10,18,19,349
2191301,135,57,205,158,0,23,19,100
11210306,134,24,71,144,12,5,19,54
8050317,72,13,206,32,0,6,19,43
10020104,53,19,64,124,0,5,22,51
2130605,135,47,134,80,5,19,22,40
19021306,96,67,99,110,4,10,22,91
16013104,54,25,94,70,0,7,22,71
16013110,129,52,129,156,7,23,22,146
7041004,44,19,39,58,0,8,22,80
15150110,38,20,41,58,0,8,22,77
12430306,87,37,80,78,21,16,22,127
1250103,50,25,104,70,8,12,22,51
1250501,76,33,86,72,4,10,22,53
11030405,142,48,142,190,9,9,22,174
2191021,81,38,119,74,0,7,22,79
18320102,39,21,76,80,10,0,22,79
15320103,178,53,116,130,12,11,22,88
4170211,110,80,104,178,10,22,22,130
15660304,25,35,48,66,4,14,22,50
4121208,54,42,84,88,10,9,22,91
12010924,85,37,106,124,0,6,22,54
15040103,159,104,254,208,0,19,22,81
8050802,98,45,68,110,11,8,22,69
2290307,90,38,147,142,18,9,20,72
7010204,112,20,112,128,7,8,19,57
18600111,107,28,67,96,8,8,19,77
17020401,70,28,87,106,0,0,19,29
7060108,83,28,52,340,42,32,19,455
5020406,47,9,14,138,5,7,19,256
2190919,44,13,0,34,0,8,22,62
6050602,72,33,85,92,8,9,20,73
8190203,57,24,71,58,0,10,20,58
3014604,147,36,168,156,4,21,20,220
18240304,17,20,21,76,14,10,22,193
2311107,68,25,102,18,0,5,22,19
3012108,298,43,128,516,33,24,22,841
7040201,27,12,48,56,0,13,22,35
2370507,58,45,138,98,6,12,22,70
8260304,58,16,81,94,7,8,22,93
1040209,66,15,94,42,8,0,21,32
2191921,69,33,103,96,0,20,21,71
2310105,100,40,165,68,6,16,21,41
6270306,62,86,211,98,10,15,21,36
2190103,52,26,66,30,0,12,21,26
4170304,84,31,119,150,0,8,21,46
3012104,81,15,18,114,41,0,21,295
5410102,68,15,62,70,0,12,22,100
14410104,35,22,67,80,17,0,21,61
2191923,60,23,52,122,0,6,21,84
9140104,99,16,79,58,7,4,22,56
16011517,49,0,16,128,0,4,22,194
19240105,42,29,72,76,13,22,22,117
5320203,41,41,82,102,0,14,22,83
17020108,145,36,121,136,22,13,22,70
15510111,18,12,17,18,6,4,22,19
1010107,93,29,100,200,18,14,22,232
12560105,88,55,122,86,0,13,22,55
1052304,113,50,146,216,11,11,22,80
17190107,67,10,50,80,9,0,22,54
16012106,204,54,183,218,6,8,22,165
12011105,226,112,236,308,9,30,22,186
8220204,40,26,34,46,17,0,21,129
16014319,142,20,72,190,6,21,22,205
5280309,81,51,100,170,7,14,22,101
5110208,73,25,93,126,14,15,22,69
4170301,84,14,91,50,6,10,22,62
3010806,107,19,56,388,8,36,22,828
18660305,112,72,147,122,20,22,22,124
16014110,128,46,160,158,16,6,22,240
2370305,63,23,67,152,0,12,22,86
16380204,156,53,162,150,0,21,22,84
11060304,74,34,72,78,7,15,22,105
1360105,10,13,0,32,7,14,22,59
8340206,102,73,127,94,0,17,21,144
1063202,56,41,93,76,12,15,21,63
15600204,13,13,10,14,0,8,21,32
12011403,58,57,125,122,7,29,21,59
11490604,118,55,189,100,8,15,21,87
16014209,110,49,94,108,7,15,22,126
3011211,49,10,23,140,0,0,21,222
4030110,17,18,9,106,7,14,21,172
9260210,71,23,90,100,5,11,21,65
18050802,53,55,88,178,9,10,21,146
20150107,32,19,23,50,0,6,21,75
12520101,47,30,58,36,0,6,21,38
8061808,78,26,68,104,6,14,21,74
15150301,42,46,104,84,6,14,21,73
8150204,80,38,86,106,0,10,21,93
16017215,73,61,163,212,0,14,21,90
19230111,28,14,33,52,8,0,21,32
3014610,111,28,70,52,0,18,21,23
8061813,140,51,151,96,0,12,22,93
5170206,57,0,63,78,4,24,22,66
1050109,16,18,58,112,7,12,21,150
11032202,213,82,280,214,0,21,21,166
16013119,105,27,32,190,14,27,21,218
18320208,52,43,71,98,0,25,21,72
3010906,108,9,50,288,0,8,21,521
12010114,23,0,0,138,0,4,21,310
12380210,68,17,72,54,0,15,21,51
16570307,57,28,117,58,11,8,22,42
9065103,79,19,37,96,9,26,22,237
11210104,117,25,94,280,13,16,22,308
2390112,57,36,44,88,0,11,22,46
1040408,59,32,53,98,6,5,22,87
16011301,127,40,135,230,8,0,22,227
7220503,87,75,153,182,8,17,22,120
2191112,56,13,24,24,9,14,22,85
16530203,74,54,136,116,13,13,22,62
4121323,82,0,106,100,0,9,22,40
2190923,69,13,41,6,0,10,21,21
20120204,88,24,98,98,16,14,21,77
6260103,147,46,81,102,5,13,21,108
2140225,90,44,106,128,0,9,21,54
4150305,52,33,62,82,8,8,21,50
1360301,98,53,173,222,12,21,21,75
12011601,142,46,174,136,0,17,21,93
18410305,41,21,56,136,6,15,21,165
2310104,65,52,59,96,0,10,21,54
5110107,20,10,67,80,0,6,21,68
6020916,79,43,103,40,8,6,21,94
1050308,9,9,0,34,0,14,21,92
11490101,176,67,176,152,0,13,21,90
8210107,37,36,91,88,0,17,21,47
10010602,72,26,93,104,5,16,21,81
18250102,0,9,34,30,0,8,21,42
19330207,30,26,52,74,7,17,21,84
8150506,61,29,80,156,16,18,21,156
11200403,32,12,54,50,6,0,21,36
19030306,52,33,38,132,0,18,21,194
6230304,94,65,131,184,0,17,21,116
9061309,90,51,101,136,9,15,21,107
6020406,102,54,153,96,7,8,21,77
2201601,40,18,48,26,0,7,21,30
20300309,88,44,68,80,9,18,21,106
3010610,111,6,37,314,12,17,21,583
2310606,127,46,161,50,0,14,22,23
18380105,59,30,84,56,5,12,22,55
3012405,119,6,60,272,15,10,22,467
11031211,71,71,235,94,11,7,22,68
2191816,142,39,109,128,0,21,22,41
12560204,97,28,149,102,12,16,22,57
2311006,103,71,129,74,6,20,21,62
16650102,22,28,34,64,0,6,22,33
4200405,28,33,44,62,0,13,22,33
4270604,52,28,60,90,13,10,22,59
7090206,51,22,45,92,0,9,22,135
1360205,88,67,113,128,0,8,22,90
9065307,36,24,71,68,4,22,22,45
11190402,211,117,230,176,22,19,22,116
2130504,29,16,30,206,9,15,22,252
16530504,108,52,68,112,5,12,22,64
8060304,26,32,38,108,4,8,22,114
5280506,44,19,49,66,4,8,22,65
15630404,58,24,77,84,5,9,21,50
2192121,55,51,131,40,0,8,21,28
16012110,107,53,161,102,5,4,21,126
7220603,56,35,71,124,4,17,22,51
11032722,74,22,24,42,9,11,21,37
16012312,109,98,167,214,9,22,21,78
18600507,68,30,55,46,10,9,19,45
16015239,133,74,241,92,0,9,19,83
2190909,50,12,58,18,5,0,19,26
11031224,52,61,188,86,14,15,19,60
8070210,68,32,31,100,5,14,19,63
5380202,44,23,55,56,0,11,19,59
11060807,35,28,73,66,8,8,19,79
5020104,44,16,41,54,5,16,19,55
9040307,111,70,139,120,0,12,19,82
12011621,57,12,40,40,0,0,19,45
8050205,58,51,170,54,9,12,19,48
3013717,188,72,124,164,0,11,19,69
17140412,129,41,63,62,10,6,19,27
17140305,50,25,84,56,0,5,19,25
8050803,60,45,91,98,0,19,19,76
6280107,44,41,89,88,0,13,19,95
16120204,38,24,58,48,0,0,19,24
8070506,46,20,36,66,6,6,19,45
16530601,66,32,32,56,0,15,19,34
5021108,81,35,63,134,11,4,19,80
14490301,26,27,63,54,0,8,19,30
16570204,82,37,61,88,8,12,19,57
19024005,77,47,82,78,0,16,19,69
14430307,38,45,37,40,5,8,19,20
12010117,37,27,25,150,0,9,19,327
11120203,60,24,38,56,0,10,19,28
9110103,54,25,71,104,4,17,19,97
11200506,186,168,309,278,14,27,19,131
2311108,51,15,98,70,6,4,19,22
11490507,153,63,139,216,6,20,19,187
1050302,27,10,74,66,8,9,19,78
8060803,77,24,71,62,5,6,19,43
2190715,32,20,67,44,0,15,19,33
2192001,39,21,30,46,0,8,19,52
1040203,55,16,123,86,25,0,19,56
9065101,13,7,37,58,8,0,19,61
16011515,20,9,39,40,8,0,19,79
5020504,101,26,107,166,7,15,19,146
9280107,21,13,59,96,8,4,19,155
12010617,42,31,46,356,7,27,19,308
2330408,93,29,76,24,7,6,19,48
8050604,20,22,29,34,0,0,19,32
3010903,110,10,58,242,22,22,19,503
12470401,111,63,134,166,12,22,19,90
11020603,182,45,161,168,8,16,19,76
16011415,25,7,24,242,7,15,19,339
1270104,72,28,103,74,21,13,19,71
8050807,25,6,18,58,4,14,19,116
12010510,133,32,71,126,16,7,19,159
2280104,109,35,70,124,21,30,19,210
2150102,20,25,39,118,4,26,19,150
12010103,101,19,32,296,18,20,19,406
7020102,54,6,30,80,5,16,19,64
4020212,45,6,6,22,0,16,19,84
2370701,72,12,60,84,14,13,19,45
12010902,82,64,149,112,0,11,19,70
15160201,98,10,95,52,0,10,19,27
15340107,56,44,125,98,0,6,19,73
11020212,76,19,28,142,14,0,19,74
11010404,59,31,96,156,7,22,19,210
12440106,159,50,101,100,11,18,19,102
4170504,16,31,40,64,4,11,19,47
15140203,47,52,108,112,0,9,19,84
12450104,179,52,89,70,24,11,19,71
16015214,65,39,133,72,0,5,19,57
6040202,114,11,61,60,0,7,19,52
9110205,16,18,44,42,5,8,19,46
7200302,87,44,89,102,18,10,19,91
6020610,132,32,74,60,14,22,19,95
4150107,48,35,64,74,11,9,19,48
18050303,44,32,78,140,16,10,19,170
1064106,92,43,127,162,7,15,19,79
14160112,41,19,107,112,5,21,19,44
7060209,79,24,121,162,6,21,19,88
19310307,60,35,59,88,9,10,19,70
11060804,79,17,75,64,12,13,19,111
11060901,121,62,209,194,8,13,19,92
19360109,33,38,53,74,6,22,19,54
16014224,97,30,97,82,13,4,19,91
14110202,78,36,96,62,0,4,19,74
1280113,50,26,67,122,18,6,19,155
12210207,116,75,171,120,17,19,19,70
1240201,103,69,152,112,21,6,19,107
9400102,15,41,36,50,0,10,19,43
3014608,241,0,46,306,70,0,19,1140
11060808,50,14,18,22,13,6,19,42
6040206,76,6,83,70,11,6,19,53
2190807,119,53,177,136,11,8,19,73
5020503,45,35,80,76,0,11,19,83
1360106,36,45,49,92,9,12,19,90
2190905,122,28,40,222,10,22,19,321
12010416,81,23,79,104,0,0,19,125
6040108,73,27,51,50,0,6,19,37
4120503,39,16,64,72,0,6,19,32
18240305,19,26,38,104,9,12,19,169
6200210,60,38,102,162,11,16,19,119
18520104,40,36,48,84,13,10,19,52
1040511,61,34,69,76,9,11,19,69
15280103,67,19,95,70,0,15,19,87
12010604,72,13,85,64,5,4,19,77
11190404,133,39,124,102,9,5,19,101
5210101,29,9,44,62,0,6,19,50
15510103,81,27,114,78,18,7,19,61
18240414,157,19,138,88,0,8,19,55
11240203,159,48,194,102,0,8,19,107
2170208,80,36,140,34,0,8,19,34
8150302,54,15,72,124,4,11,19,47
10010705,124,46,88,82,15,10,19,144
5280205,18,12,11,70,4,11,19,117
4360109,32,32,76,50,5,18,19,42
16015121,179,30,201,110,0,16,19,75
12470404,130,39,107,146,6,25,19,61
12310208,120,47,124,122,4,0,19,114
2190603,77,30,123,72,0,5,19,40
12470802,63,39,112,104,11,14,19,64
16016207,69,16,63,74,0,0,19,30
10010405,30,15,20,72,0,10,19,107
2300602,43,9,67,38,8,15,19,77
3013704,132,50,124,146,16,15,19,154
16570203,98,26,94,122,14,19,19,54
8050701,74,33,90,66,6,0,19,75
11350402,155,53,154,124,0,4,19,56
11240102,169,56,43,172,9,6,19,138
4290110,72,21,97,86,12,8,19,88
7090202,45,12,22,140,19,8,19,166
7091005,51,27,28,36,10,0,19,61
17560403,46,15,66,78,0,10,21,25
19021209,48,82,75,96,5,8,21,70
19380106,21,10,50,38,0,8,22,41
12510103,42,13,68,88,0,12,21,46
16240406,52,18,73,58,14,4,21,44
12011810,108,29,44,138,10,36,20,182
1180103,50,24,107,102,14,10,19,66
15200203,91,51,110,92,16,12,20,68
15760201,27,37,75,96,0,15,20,71
6230307,96,62,121,216,23,31,20,341
5430203,64,30,68,96,22,13,20,87
11032205,201,117,337,240,14,20,20,139
14320305,80,40,114,120,0,8,20,91
2350209,80,53,150,144,14,13,20,106
7060711,121,57,198,174,0,16,20,62
15020402,76,40,90,98,10,8,20,113
5280201,47,28,78,120,0,17,21,75
1350204,50,36,60,216,13,16,20,106
1064203,86,51,132,158,5,5,20,88
3010604,110,38,63,270,13,12,20,269
5340509,47,12,67,84,0,13,20,55
16013109,101,57,114,140,11,16,20,117
12240502,81,15,101,88,10,20,20,103
18120105,17,14,53,52,0,0,20,60
2190714,58,37,72,54,0,8,20,80
2280206,78,55,128,90,9,8,20,86
7061116,72,40,153,152,5,8,20,85
12010120,45,16,56,88,0,10,20,83
5360402,33,28,36,70,8,11,20,53
5340505,54,50,97,70,0,12,20,66
15280201,93,40,163,150,16,14,20,101
